Prev_Gear,Current_Gear,Speed,Acceleration,Brake,Torque
3,3,81.853,142.4,1.6,344.24
3,3,81.892,142.4,1.6,344.26
3,3,82.087,142.4,1.6,344.41
3,3,82.113,142.4,1.6,344.43
3,3,82.241,142.4,1.6,344.54
3,3,82.334,142.4,1.6,344.61
3,3,82.555,142.4,1.6,344.79
3,3,82.776,142.4,1.6,344.97
3,3,82.997,142.4,1.6,345.15
3,3,83.218,142.4,1.6,345.33
3,3,83.439,142.4,1.6,345.51
3,3,83.66,142.4,1.6,345.69
3,3,83.88,142.4,1.6,345.87
3,3,84.101,142.4,1.6,346.05
3,3,84.322,142.4,1.6,346.22
3,3,84.542,142.4,1.6,346.4
3,3,84.763,142.4,1.6,346.58
3,3,84.984,142.4,1.6,346.76
3,3,85.204,142.4,1.6,346.94
3,3,85.425,142.4,1.6,347.11
3,3,85.645,142.4,1.6,347.29
3,3,85.865,142.4,1.6,347.47
3,3,86.086,142.4,1.6,347.65
3,3,86.306,142.4,1.6,347.83
3,3,86.526,142.4,1.6,348
3,3,86.747,142.4,1.6,348.18
3,3,86.967,142.4,1.6,348.36
3,3,87.187,142.4,1.6,348.53
3,3,87.407,142.4,1.6,348.71
3,3,87.627,142.4,1.6,348.89
3,3,87.847,142.4,1.6,349.06
3,3,88.067,142.4,1.6,349.24
3,3,88.287,142.4,1.6,349.42
3,3,88.507,142.4,1.6,349.59
3,3,88.727,142.4,1.6,349.77
3,3,88.946,142.4,1.6,349.95
3,3,89.166,142.4,1.6,350.12
3,3,89.386,142.4,1.6,350.3
3,3,89.605,142.4,1.6,350.47
3,3,89.825,142.4,1.6,350.65
3,3,90.044,142.4,1.6,350.82
3,3,90.264,142.4,1.6,351
3,3,90.483,142.4,1.6,351.17
3,3,90.703,142.4,1.6,351.35
3,3,90.922,142.4,1.6,351.17
3,3,91.14,142.4,1.6,350.35
3,3,91.358,142.4,1.6,349.45
3,3,91.575,142.4,1.6,348.54
3,3,91.791,142.4,1.6,347.63
3,3,92.006,142.4,1.6,346.73
3,3,92.22,142.4,1.6,345.84
3,3,92.434,142.4,1.6,344.95
3,3,92.646,142.4,1.6,344.06
3,3,92.858,142.4,1.6,343.18
3,3,93.069,142.4,1.6,342.3
3,3,93.279,142.4,1.6,341.43
3,3,93.488,142.4,1.6,340.57
3,3,93.696,142.4,1.6,339.71
3,3,93.903,142.4,1.6,338.85
3,3,94.11,142.4,1.6,338
3,3,94.316,142.4,1.6,337.15
3,3,94.521,142.4,1.6,336.31
3,3,94.725,142.4,1.6,335.47
3,3,94.928,142.4,1.6,334.64
3,3,95.13,142.4,1.6,333.81
3,3,95.332,142.4,1.6,332.99
3,3,95.533,142.4,1.6,332.17
3,3,95.733,142.4,1.6,331.35
3,3,95.932,142.4,1.6,330.54
3,3,96.131,142.4,1.6,329.73
3,3,96.328,142.4,1.6,328.93
3,3,96.525,142.4,1.6,328.14
3,3,96.721,142.4,1.6,327.34
3,3,96.916,142.4,1.6,326.55
3,3,97.111,142.4,1.6,325.77
3,3,97.305,142.4,1.6,324.99
3,3,97.498,142.4,1.6,324.21
3,3,97.69,142.4,1.6,323.44
3,3,97.881,142.4,1.6,322.68
3,3,98.072,142.4,1.6,321.91
3,3,98.262,142.4,1.6,321.15
3,3,98.451,142.4,1.6,320.4
3,3,98.639,142.4,1.6,319.65
3,3,98.827,142.4,1.6,318.9
3,3,99.014,142.4,1.6,318.16
3,3,99.2,142.4,1.6,317.42
3,3,99.386,142.4,1.6,316.69
3,3,99.57,142.4,1.6,315.95
3,3,99.754,142.4,1.6,315.23
3,3,99.938,142.4,1.6,314.51
3,3,100.12,142.4,1.6,313.79
3,3,100.3,142.4,1.6,313.07
3,4,100.48,142.4,1.6,6.9729
3,4,100.43,142.4,1.6,11.114
3,4,100.39,142.4,1.6,15.781
3,4,100.37,142.4,1.6,17.108
3,4,100.36,142.4,1.6,18.443
3,4,100.35,142.4,1.6,19.151
3,4,100.35,142.4,1.6,19.859
3,4,100.35,142.4,1.6,20.168
3,4,100.34,142.4,1.6,20.477
3,4,100.34,142.4,1.6,20.571
3,4,100.34,142.4,1.6,21.108
3,4,100.34,142.4,1.6,21.7
3,4,100.34,142.4,1.6,24.664
3,4,100.33,142.4,1.6,36.313
3,4,100.32,142.4,1.6,45.733
3,4,100.32,142.4,1.6,59.109
4,4,100.32,142.4,1.6,61.108
4,4,100.31,142.4,1.6,66.374
4,4,100.32,142.4,1.6,86.565
4,4,100.32,142.4,1.6,101.11
4,4,100.34,142.4,1.6,123.26
4,4,100.36,142.4,1.6,141.11
4,4,100.39,142.4,1.6,164.91
4,4,100.42,142.4,1.6,181.11
4,4,100.48,142.4,1.6,205.66
4,4,100.52,142.4,1.6,221.11
4,4,100.62,142.4,1.6,247.33
4,4,100.64,142.4,1.6,246.99
4,4,100.75,142.4,1.6,245.7
4,4,100.77,142.4,1.6,245.56
4,4,100.89,142.4,1.6,245.23
4,4,100.9,142.4,1.6,245.21
4,4,100.97,142.4,1.6,245.14
4,4,101.03,142.4,1.6,245.11
4,4,101.16,142.4,1.6,245.08
4,4,101.29,142.4,1.6,245.06
4,4,101.42,142.4,1.6,245.04
4,4,101.54,142.4,1.6,245.02
4,4,101.67,142.4,1.6,245
4,4,101.8,142.4,1.6,244.98
4,4,101.93,142.4,1.6,244.96
4,4,102.06,142.4,1.6,244.95
4,4,102.18,142.4,1.6,244.93
4,4,102.31,142.4,1.6,244.91
4,4,102.44,142.4,1.6,244.89
4,4,102.57,142.4,1.6,244.87
4,4,102.69,142.4,1.6,244.85
4,4,102.82,142.4,1.6,244.84
